10,32.614,10
15,34.89,14
17,34.652,20
15,27.755,17
13,40.604,14
10,43.29,10
15,35.673,17
13,37.358,11
13,30.958,18
13,32.542,13
12,34.376,19
14,37.618,17
14,32.704,14
14,33.209,13
12,31.672,11
20,25.297,23
12,37.014,16
17,31.698,17
14,31.792,10
18,25.8,22
15,30.976,13
10,45.895,10
15,27.105,17
15,44.487,11
14,35.699,13
13,27.158,16
13,43.88,10
14,34.248,14
19,28.787,24
11,37.937,8
15,31.133,14
15,25.287,19
10,35.529,9
13,30.551,11
12,42.503,14
17,24.957,19
15,30.916,21
13,31.413,9
10,42.537,11
19,35.357,22
19,26.688,23
13,38.877,9
14,34.836,14
13,35.518,13
11,34.2,14
8,40.129,10
17,35.312,25
15,33.218,9
12,32.44,12
16,32.258,18
16,41.34,22
14,31.535,19
16,30.875,18
13,48.637,12
14,37.19,20
20,30.738,19
13,42.287,13
12,35.133,20
11,39.433,11
13,37.594,8
16,39.072,15
18,28.002,23
15,35.003,14
12,39.771,16
14,36.925,19
16,41.279,11
15,29.914,20
13,39.509,9
16,34.7,16
11,37.914,13
16,34.304,14
11,44.052,9
18,30.577,27
10,33.671,14
16,30.829,18
14,34.663,20
16,33.093,19
11,35.881,17
17,38.191,21
18,33.245,19
10,44.542,9
16,29.269,19
16,40.853,18
12,31.954,16
12,35.033,16
14,36.373,18
16,39.378,18
13,41.223,15
15,31.206,21
14,32.686,14
19,38.516,19
12,32.72,12
19,26.076,17
13,36.93,14
14,30.251,22
17,26.012,18
15,38.591,17
17,33.137,22
11,41.7,16
12,33.59,7
14,38.047,8
14,36.328,15
14,33.259,16
11,34.218,17
16,29.622,22
10,37.306,14
17,35.907,19
15,31.25,16
11,39.165,9
14,35.775,13
16,19.226,23
14,30.529,13
14,32.485,14
15,33.604,10
16,39.014,16
13,38.707,15
16,31.988,17
13,35.472,12
14,40.554,15
12,37.003,12
21,33.324,23
14,38.382,13
12,35.82,14
9,35.989,10
17,33.907,18
12,45.984,10
15,29.047,19
17,21.527,22
14,34.929,15
11,31.871,20
11,31.535,12
15,35.766,17
17,32.918,20
10,38.58,14
16,23.347,18
16,39.872,22
14,30.098,17
12,33.978,13
16,28.972,18
15,27.777,17
15,38.492,20
17,34.852,25
13,28.923,12
14,34.332,20
15,42.117,14
11,33.136,12
13,28.239,9
12,40.578,14
15,32.283,16
12,36.686,19
11,36.533,14
